tema,comentarios,orden,parte,funcion,estilo,escala,modo,tonalidad,velocidadPPM,unidadMedidaDuracion,numeroPPC,factor,volumen,panorama,linea,secuencia,duracionEspecial,duracion,ciclo,acorde,curvaIntensidad,curvaTransicion,curvaPanorama,curvaEfecto
Yester Play,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Bajo,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Melodía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Armonía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Armonía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Armonía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Armonía,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Percusión,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Percusión,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Percusión,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Bajo,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Bajo,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
Get pack,Compuesta por Pablito y Juanito en 1963,1,Parte uno,Bajo,Rock,Occidental,1 Mayor/Jónico,C,60,uno,4,*1,normal,Centro,1,1,11,u,4,,,,,,
